Settore,Numero_Aziende,Percentuale_Totale,Comune
Amministrazione,13,13.5,Scandale
Altro,31,6.7,Scandale
Industrie,203,0.1151,Predappio
Servizi,105,26.8,Predappio
Amministrazione,43,19.9,Predappio
Altro,129,38.9,Predappio
Industrie,2,0.7,Montescano
Servizi,12,2.4,Montescano
Amministrazione,5,44.3,Montescano
Altro,16,4.2,Montescano
Industrie,5,5.1,San Leonardo
Servizi,31,5.0,San Leonardo
Amministrazione,20,5.8,San Leonardo
Altro,27,5.8,San Leonardo
Industrie,3,1.0,Poli
Servizi,31,5.1,Poli
Amministrazione,6,6.4,Poli
Altro,32,23.5,Poli
Industrie,38,12.0,Arnara
Servizi,35,5.1,Arnara
Amministrazione,18,5.8,Arnara
Altro,36,7.3,Arnara
Industrie,2,0.4,Vallo di Nera
Servizi,7,1.2,Vallo di Nera
Amministrazione,4,1.1,Vallo di Nera
Altro,9,3.0,Vallo di Nera
Industrie,6,13.5,Candiana
Servizi,31,4.9,Candiana
Amministrazione,7,13.5,Candiana
Altro,76,18.7,Candiana
Industrie,322,0.1254,Abano Terme
Servizi,634,0.1667,Abano Terme
Amministrazione,126,89.8,Abano Terme
Altro,752,0.4711,Abano Terme
Industrie,174,0.1387,Piovene Rocchette
Servizi,119,28.2,Piovene Rocchette
Amministrazione,36,26.5,Piovene Rocchette
Altro,153,50.2,Piovene Rocchette
Industrie,31,10.4,San Pietro in Cerro
Servizi,22,5.4,San Pietro in Cerro
Amministrazione,8,2.8,San Pietro in Cerro
Altro,15,3.6,San Pietro in Cerro
Industrie,19,4.8,Nosate
Servizi,12,3.3,Nosate
Amministrazione,2,0.5,Nosate
Altro,14,3.9,Nosate
Industrie,2,0.5,Selci
Servizi,32,5.5,Selci
Amministrazione,9,0.9,Selci
Altro,30,8.0,Selci
Industrie,10,1.6,Canale Monterano
Servizi,55,8.2,Canale Monterano
Amministrazione,15,16.6,Canale Monterano
Altro,64,10.2,Canale Monterano
Industrie,2,0.5,Bolognola
Servizi,1,0.2,Bolognola
Amministrazione,3,1.7,Bolognola
Altro,7,3.2,Bolognola
Industrie,19,56.8,Figline Vegliaturo
Servizi,20,4.0,Figline Vegliaturo
