Laurea_Maschi,Laurea_Femmine,Laurea_Totale,Diploma_Maschi,Diploma_Femmine,Diploma_Totale,Licenza Media_Maschi,Licenza Media_Femmine,Licenza Media_Totale,Licenza Elementare_Maschi,Licenza Elementare_Femmine,Licenza Elementare_Totale,Alfabeti_Maschi,Alfabeti_Femmine,Alfabeti_Totale,Analfabeti_Maschi,Analfabeti_Femmine,Analfabeti_Totale,Comune
225,307,532,782,894,1676,763,652,1415,491,664,1155,183,192,375,7,5,12,Borgo Val di Taro
67,103,170,265,272,537,256,234,490,170,203,373,35,36,71,1,0,1,Ponte in Valtellina
228,322,550,758,823,1581,609,571,1180,333,480,813,128,173,301,12,12,24,Castelnovo ne' Monti
598,800,1398,1887,1802,3689,1523,1456,2979,872,1103,1975,417,527,944,82,124,206,Policoro
14,15,29,47,53,100,53,40,93,37,39,76,10,12,22,0,1,1,San Massimo
25,23,48,86,101,187,132,113,245,131,146,277,47,98,145,19,40,59,Nova Siri
217,253,470,1003,908,1911,930,833,1763,614,901,1515,203,252,455,10,16,26,Roncade
4,1,5,25,28,53,41,25,66,16,19,35,4,6,10,0,0,0,Selva di Progno
218,313,531,851,896,1747,826,711,1537,503,694,1197,182,268,450,7,26,33,San Giorgio di Piano
113,153,266,497,523,1020,505,451,956,351,396,747,120,140,260,36,37,73,Collesalvetti
43,48,91,170,215,385,212,154,366,151,168,319,45,57,102,4,4,8,Montese
7,15,22,47,34,81,35,28,63,16,39,55,6,11,17,0,0,0,Chiusaforte
4,4,8,22,24,46,57,36,93,50,69,119,6,4,10,2,0,2,Careggine
15,12,27,40,31,71,69,60,129,45,50,95,15,34,49,4,9,13,Gildone
26,32,58,90,77,167,88,77,165,69,79,148,50,60,110,26,58,84,Aliano
46,36,82,126,116,242,80,90,170,68,59,127,26,23,49,0,2,2,Diano d'Alba
90,118,208,383,301,684,323,298,621,178,248,426,58,91,149,6,17,23,Pieve Santo Stefano
0,0,0,2,1,3,5,5,10,1,2,3,0,1,1,0,0,0,Elva
1,3,4,18,19,37,25,17,42,14,20,34,0,1,1,0,0,0,Usseglio
156,226,382,989,988,1977,1735,1450,3185,862,1238,2100,284,289,573,11,22,33,Capriolo
178,244,422,713,743,1456,738,636,1374,354,542,896,105,142,247,6,27,33,Strambino
20,18,38,42,46,88,46,50,96,25,56,81,10,4,14,0,1,1,Rivalba
144,195,339,601,591,1192,590,494,1084,321,403,724,127,215,342,14,28,42,Loreto Aprutino
4,9,13,39,30,69,51,38,89,39,54,93,4,4,8,1,1,2,Grizzana Morandi
19,21,40,76,74,150,75,65,140,55,74,129,9,13,22,1,0,1,Zavattarello
219,286,505,699,674,1373,860,742,1602,482,578,1060,267,389,656,57,143,200,Roggiano Gravina
90,104,194,345,281,626,338,284,622,188,214,402,94,122,216,3,4,7,San Costanzo
46,59,105,220,245,465,343,236,579,194,238,432,56,52,108,3,8,11,Santa Cristina e Bissone
242,314,556,881,921,1802,1275,1068,2343,682,781,1463,380,496,876,143,172,315,San Giovanni Gemini
