Settore,Numero_Aziende,Addetti,Percentuale_Totale,Comune
Industrie,45,Addetti,20.0,Campo Calabro
Servizi,73,Addetti,14.3,Campo Calabro
Amministrazione,24,Addetti,40.5,Campo Calabro
Altro,40,Addetti,10.1,Campo Calabro
Industrie,36,Addetti,10.3,Offagna
Servizi,34,Addetti,6.6,Offagna
Amministrazione,21,Addetti,3.8,Offagna
Altro,17,Addetti,4.0,Offagna
Industrie,60,Addetti,25.4,Maleo
Servizi,48,Addetti,10.2,Maleo
Amministrazione,15,Addetti,11.8,Maleo
Altro,55,Addetti,18.6,Maleo
Industrie,196,Addetti,59.8,Orta Nova
Servizi,404,Addetti,93.2,Orta Nova
Amministrazione,58,Addetti,54.6,Orta Nova
Altro,230,Addetti,63.5,Orta Nova
Industrie,20,Addetti,4.8,Rivodutri
Servizi,20,Addetti,4.0,Rivodutri
Amministrazione,16,Addetti,4.0,Rivodutri
Altro,21,Addetti,5.7,Rivodutri
Industrie,100,Addetti,64.2,Primaluna
Servizi,29,Addetti,8.6,Primaluna
Amministrazione,20,Addetti,3.4,Primaluna
Altro,35,Addetti,8.9,Primaluna
Industrie,169,Addetti,79.7,Premana
Servizi,43,Addetti,8.3,Premana
Amministrazione,11,Addetti,4.7,Premana
Altro,29,Addetti,8.3,Premana
Industrie,2,Addetti,0.6,Castelmola
Servizi,36,Addetti,5.7,Castelmola
Amministrazione,5,Addetti,3.9,Castelmola
Altro,39,Addetti,9.1,Castelmola
Industrie,467,Addetti,0.2246999999999999,Vaiano
Servizi,175,Addetti,37.5,Vaiano
Amministrazione,53,Addetti,29.6,Vaiano
Altro,182,Addetti,54.7,Vaiano
Industrie,17,Addetti,4.9,Sadali
Servizi,23,Addetti,3.8,Sadali
Amministrazione,12,Addetti,4.8,Sadali
Altro,18,Addetti,4.0,Sadali
Industrie,29,Addetti,6.8,Lotzorai
Servizi,40,Addetti,8.0,Lotzorai
Amministrazione,10,Addetti,4.6,Lotzorai
Altro,46,Addetti,12.6,Lotzorai
Industrie,63,Addetti,35.3,Calco
Servizi,70,Addetti,21.1,Calco
Amministrazione,13,Addetti,7.5,Calco
Altro,105,Addetti,30.0,Calco
Industrie,52,Addetti,34.9,Porto Empedocle
Servizi,281,Addetti,64.4,Porto Empedocle
Amministrazione,64,Addetti,74.1,Porto Empedocle
Altro,285,Addetti,83.8,Porto Empedocle
Industrie,67,Addetti,26.0,Catenanuova
Servizi,91,Addetti,13.1,Catenanuova
Amministrazione,12,Addetti,22.4,Catenanuova
Altro,71,Addetti,17.3,Catenanuova
Industrie,43,Addetti,10.0,Mirabella Imbaccari
Servizi,113,Addetti,16.6,Mirabella Imbaccari
Amministrazione,17,Addetti,20.7,Mirabella Imbaccari
Altro,98,Addetti,23.3,Mirabella Imbaccari
Industrie,88,Addetti,23.3,Sant'Angelo di Brolo
Servizi,83,Addetti,12.4,Sant'Angelo di Brolo
Amministrazione,30,Addetti,31.5,Sant'Angelo di Brolo
Altro,86,Addetti,19.8,Sant'Angelo di Brolo
Industrie,65,Addetti,29.1,Castel Viscardo
Servizi,55,Addetti,9.4,Castel Viscardo
Amministrazione,19,Addetti,6.5,Castel Viscardo
Altro,52,Addetti,18.9,Castel Viscardo
Industrie,6,Addetti,2.1,Erve
Servizi,5,Addetti,1.2,Erve
Amministrazione,7,Addetti,3.2,Erve
Altro,21,Addetti,5.7,Erve
Industrie,173,Addetti,59.8,Brusciano
Servizi,188,Addetti,34.2,Brusciano
Amministrazione,34,Addetti,41.5,Brusciano
Altro,120,Addetti,33.4,Brusciano
Industrie,15,Addetti,5.1,Cropalati
Servizi,29,Addetti,4.6,Cropalati
Amministrazione,7,Addetti,5.3,Cropalati
Altro,8,Addetti,1.8,Cropalati
Industrie,1327,Addetti,0.7517,Campi Bisenzio
Servizi,909,Addetti,0.3393,Campi Bisenzio
Amministrazione,123,Addetti,62.8,Campi Bisenzio
Altro,851,Addetti,0.4386,Campi Bisenzio
Industrie,9,Addetti,2.8,San Martino di Finita
Servizi,12,Addetti,2.2,San Martino di Finita
Amministrazione,7,Addetti,3.4,San Martino di Finita
Altro,12,Addetti,3.8,San Martino di Finita
Industrie,1,Addetti,0.3,Tinnura
Servizi,2,Addetti,0.4,Tinnura
Amministrazione,4,Addetti,0.9,Tinnura
Altro,4,Addetti,2.5,Tinnura
Industrie,9,Addetti,2.2,Sini
Servizi,10,Addetti,2.2,Sini
Amministrazione,10,Addetti,2.8,Sini
Altro,13,Addetti,4.7,Sini
Industrie,65,Addetti,54.5,Controguerra
Servizi,41,Addetti,9.3,Controguerra
Amministrazione,8,Addetti,1.5,Controguerra
Altro,51,Addetti,17.1,Controguerra
Industrie,10,Addetti,3.5,Bieno
Servizi,4,Addetti,0.8,Bieno
Amministrazione,8,Addetti,0.7,Bieno
Altro,9,Addetti,2.3,Bieno
Industrie,188,Addetti,0.2234,Colonnella
Servizi,62,Addetti,63.3,Colonnella
Amministrazione,10,Addetti,2.2,Colonnella
Altro,62,Addetti,20.1,Colonnella
Industrie,228,Addetti,0.1076999999999999,Pelago
Servizi,128,Addetti,31.2,Pelago
Amministrazione,36,Addetti,13.5,Pelago
Altro,146,Addetti,52.1,Pelago
Industrie,393,Addetti,0.161,Ariano Irpino
Servizi,538,Addetti,0.1431,Ariano Irpino
Amministrazione,120,Addetti,0.1268999999999999,Ariano Irpino
Altro,353,Addetti,0.1316,Ariano Irpino
Industrie,28,Addetti,9.8,Lisciano Niccone
Servizi,11,Addetti,2.0,Lisciano Niccone
Amministrazione,5,Addetti,1.4,Lisciano Niccone
Altro,15,Addetti,5.3,Lisciano Niccone
Industrie,98,Addetti,51.3,Giano dell'Umbria
Servizi,82,Addetti,21.0,Giano dell'Umbria
Amministrazione,27,Addetti,19.2,Giano dell'Umbria
Altro,96,Addetti,36.5,Giano dell'Umbria
Industrie,212,Addetti,74.3,Valenzano
Servizi,406,Addetti,59.1,Valenzano
Amministrazione,23,Addetti,69.9,Valenzano
Altro,221,Addetti,85.3,Valenzano
Industrie,18,Addetti,6.4,Monte Castello di Vibio
Servizi,32,Addetti,5.8,Monte Castello di Vibio
Amministrazione,13,Addetti,3.3,Monte Castello di Vibio
Altro,37,Addetti,9.4,Monte Castello di Vibio
Industrie,12,Addetti,4.7,Bannio Anzino
Servizi,16,Addetti,3.5,Bannio Anzino
Amministrazione,8,Addetti,4.6,Bannio Anzino
Altro,23,Addetti,8.3,Bannio Anzino
Industrie,34,Addetti,20.1,Pinzano al Tagliamento
Servizi,21,Addetti,4.4,Pinzano al Tagliamento
Amministrazione,18,Addetti,15.7,Pinzano al Tagliamento
Altro,32,Addetti,9.6,Pinzano al Tagliamento
Industrie,20,Addetti,8.9,Magherno
Servizi,30,Addetti,5.8,Magherno
Amministrazione,8,Addetti,2.9,Magherno
Altro,36,Addetti,10.4,Magherno
Industrie,207,Addetti,78.7,Luni
Servizi,157,Addetti,37.0,Luni
Amministrazione,16,Addetti,16.1,Luni
Altro,114,Addetti,32.1,Luni
Industrie,39,Addetti,8.5,Scandale
Servizi,56,Addetti,7.1,Scandale
Amministrazione,13,Addetti,13.5,Scandale
Altro,31,Addetti,6.7,Scandale
Industrie,203,Addetti,0.1151,Predappio
Servizi,105,Addetti,26.8,Predappio
